userID,status,commentBody,approveDate,recommendationCount,location,display_name,userComments,times_people,commentSequence,editorsSelection,createDate
63984680,approved,"I\'ve been reading \""What\'s the next Silicon Valley?\"" articles since the 1970s, when they used to be \""What\'s the next Silicon Valley / Route 128?\"" articles. All that\'s happened since then is that Route 128 (suburban Boston) lost out badly to Silicon Valley. <br/><br/>The reality is that all the information superhighway hype about how you didn\'t have to live anywhere in particular to do your job turned out backwards. Getting to the top is really about where you live and who you spend time with in person.",1425547472,39,America,Steve Sailer,NA,1,14319463,0,1425539646
40255154,approved,"Agreed, Steve Sailer. Note, too, that for all the talk of disruption, Silicon Valley\'s status as the epicenter of tech development has grown over decades from historical roots in the military and electronics industries based there at least since the 1950s. You might even say that Silicon Valley evolved \""organically\"" (irony) which helps explain why cities can\'t become \""the new Silicon Valley\"" by waving a few tax breaks and an ad campaign.",1425553927,33,Philadelphia,Doug Hill,NA,1,14319878,0,1425553887
39924852,approved,"You\'re absolutely right. It\'s very difficult, if virtually impossible to overcome (or even rival) the advantages of an incumbent. Hollywood is still the center of the entertainment industry and New York City is still the center of finance. And both evolved into those positions through a very \""organic\"" process. The other cities mentioned are (or have been) the center of very different industries; Orlando and tourism and Pittsburgh and industrial production.",1425566648,11,New York City,Fred,NA,1,14321639,0,1425566615
65260364,approved,Very true... Though Route was very successful it\'s own right... Just like in the Bay Area with San Fran seeing faster growth - Boston/Cambridge is where the growth is in that area.,1425571627,0,New York,Andre,NA,1,14321667,0,1425566788
38130104,approved,"Growing up in Florida I could not wait with my technology skills to leave to go....guess where?  San Francisco and in 1986  I never looked back.  I remembered an article a few years later indicted that for every 10 people who moved to Florida over the age 65, 7 people under the age of 30 moved out. <br/><br/>I recently went to Orlando with my spouse who was attending a conference and I was astounded at how Orlando had grown with massive highways and never ending ugly malls and expanding theme parks.  After a few days there visiting one chain place after another, one ugly mall after another, I realized that Orlando had no soul no vibe other than the sounds of never ending traffic.  No individualism or sense of city spirit beyond marketing tourism for Europeans, South Americans or obese Americans who are there for the magic of discounted malls or a theme park a day.  After a lovely day of doing both they head with excitement to visit their favorite chain restaurant serving predictable plastic food that they can get anywhere in the US.   What a vacation and what a place to live.",1425557226,86,SF,SFjoe,NA,1,14320141,0,1425557208
66015063,approved,"Great comment. I have never been to Orlando and based upon your comment I hope that I never have to go that city. I prefer \""sin city\"".",1425570190,1,"Las Vegas,Nevada",NVFisherman,NA,1,14320531,0,1425560884
65260364,approved,I understand totally.  I have relatives who relocated to central Florida to escape the winter.  Many times they tried to recruit me to move.   After a week or so I\'m ready to leave.  I tried to see myself living there but I just can\'t see it.  Soul-less indeed.,1425571586,6,New York,Andre,NA,1,14321634,0,1425566593
59763575,approved,"I agree. Central Florida is a horror: all asphalt (the vast, empty parking lots, the six lane roads) and strip malls, most of them decrepit. There are cars on the beaches. Rarely does a community zone a commercial district to encourage and protect local businesses and restaurants. It\'s all sprawl. There\'s no there there. No one with any interest in having a real life would ever move there voluntarily.",1425569951,13,CO,Contingent,NA,1,14322408,0,1425569931
68595930,approved,Orlando has changed since you left 30 years ago.  It\'s become Portlandia in many areas.  I thought tech people were aware of the fact that things change?,1425575132,1,Miami,Feta,NA,1,14323512,0,1425574274
7890860,approved,California ha a very big advantage in job mobility for workers because employee non-compete agreements are essentially unenforceable.<br/><br/>Here in Massachusetts I and a number of my friends in high tech have been threatened by our previous employers. Some have had to wait for a year to take a job in a related area after quitting a job.,1425558607,31,"lexington, ma",bentsn,NA,1,14320265,0,1425558598
14442276,approved,You hit the nail on the head.,1425571642,2,"Gallatin Gateway, Montana",Dave Anderson,NA,1,14321687,0,1425566881
